Timestamp,Generation,AliveCount,AvgLength,MaxLength,Aggressiveness
2025-12-28 18:08:30,4662,65,6.45,12,0.0000
2025-12-28 18:08:30,4664,64,7.03,12,0.0312
2025-12-28 18:08:30,4666,68,6.44,12,0.0000
2025-12-28 18:08:30,4668,68,6.72,12,0.0000
2025-12-28 18:08:30,4671,66,7.11,12,0.0000
2025-12-28 18:08:30,4671,69,7.22,12,0.0000
2025-12-28 18:08:30,4673,71,7.17,12,0.0141
2025-12-28 18:08:30,4676,72,7.01,13,0.0000
2025-12-28 18:08:30,4679,72,7.06,12,0.0000
2025-12-28 18:08:30,4680,77,6.61,12,0.0000
2025-12-28 18:08:30,4685,75,6.61,12,0.0000
2025-12-28 18:08:31,4685,78,6.50,12,0.0000
